Comments,filename,objectid,originating_system_id,original_file_name,short_filename,sort_index,parentid,admin_notes,title,interviewer,interviewee,date,interview_date,description,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,WORKSPACE1,WORKSPACE2,WORKSPACE3,object_location,image_small,image_thumb,image_alt_text,object_transcript,creator,collection,focused_event,bio,pdf,temp1,temp2,temp3,
,17_1.jpg,dg_1780934279,17,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934279.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934279_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934279_TN.jpg,,,,,,,,,,,
,17_2.jpg,dg_1780934280,17,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934280.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934280_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934280_TN.jpg,,,,,,,,,,,
,17_3.jpg,dg_1780934281,17,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934281.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934281_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934281_TN.jpg,,,,,,,,,,,
,18_0.jpg,dg_1780934282,18,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934282.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934282_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934282_TN.jpg,,,,,,,,,,,
,18_1.jpg,dg_1780934283,18,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934283.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934283_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934283_TN.jpg,,,,,,,,,,,
,18_2.jpg,dg_1780934284,18,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934284.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934284_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934284_TN.jpg,,,,,,,,,,,
,18_3.jpg,dg_1780934285,18,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934285.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934285_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934285_TN.jpg,,,,,,,,,,,
,19_0.jpg,dg_1780934286,19,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934286.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934286_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934286_TN.jpg,,,,,,,,,,,
,19_1.jpg,dg_1780934287,19,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934287.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934287_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934287_TN.jpg,,,,,,,,,,,
,19_2.jpg,dg_1780934288,19,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934288.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934288_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934288_TN.jpg,,,,,,,,,,,
,20_0.jpg,dg_1780934290,20,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934290.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934290_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934290_TN.jpg,,,,,,,,,,,
,20_1.jpg,dg_1780934291,20,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934291.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934291_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934291_TN.jpg,,,,,,,,,,,
,20_2.jpg,dg_1780934292,20,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934292.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934292_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934292_TN.jpg,,,,,,,,,,,
,21_0.jpg,dg_1780934293,21,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934293.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934293_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934293_TN.jpg,,,,,,,,,,,
,21_1.jpg,dg_1780934294,21,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934294.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934294_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934294_TN.jpg,,,,,,,,,,,
,22_0.jpg,dg_1780934295,22,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934295.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934295_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934295_TN.jpg,,,,,,,,,,,
,22_1.jpg,dg_1780934296,22,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934296.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934296_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934296_TN.jpg,,,,,,,,,,,
,23_0.jpg,dg_1780934297,23,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934297.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934297_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934297_TN.jpg,,,,,,,,,,,
,23_1.jpg,dg_1780934298,23,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934298.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934298_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934298_TN.jpg,,,,,,,,,,,
,24_0.jpg,dg_1780934299,24,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934299.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934299_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934299_TN.jpg,,,,,,,,,,,
,24_1.jpg,dg_1780934300,24,,,,,,,,,,,,,,,,,,,,image/jpeg,,,,image,,,,https://collectionbuilder.blob.core.windows.net/objs/GCCB-CSM/dg_1780934300.jpg,https://collectionbuilder.blob.core.windows.net/smalls/GCCB-CSM/dg_1780934300_SMALL.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/GCCB-CSM/dg_1780934300_TN.jpg,,,,,,,,,,,
